time,tmax,tmin,precip,rhmax,rhmin,rsds
1/15/1960,286.591614,276.965393,59.283329,82.502403,38.839993,113.341148
2/15/1960,288.023956,275.269012,36.936184,67.188866,28.422726,178.217255
3/15/1960,288.862457,275.070343,30.424473,63.125221,20.872717,232.985474
4/15/1960,297.216248,281.91861,1.481287,53.050404,15.722419,294.10849
5/15/1960,297.924774,283.023956,3.10198,59.084915,17.968107,322.343597
6/15/1960,304.378082,288.369995,15.052344,46.358463,13.585032,327.427582
7/15/1960,305.847198,290.927185,5.208545,47.276962,16.065144,325.575378
8/15/1960,307.681122,293.109039,14.816278,48.124866,18.600235,283.747375
9/15/1960,303.974213,289.380371,13.673908,58.273926,20.185513,246.587311
10/15/1960,297.322601,283.140961,6.483825,57.196896,19.233421,193.390762
11/15/1960,288.845123,277.31955,10.418261,67.804016,23.177179,139.69899
12/15/1960,284.386536,274.18396,5.401948,65.421356,27.903387,116.603569
1/15/1961,284.098541,273.963043,28.00392,70.993179,32.912224,127.086708
2/15/1961,287.163269,274.871368,6.596789,62.872799,22.873346,173.23085
3/15/1961,287.45874,275.669312,17.771435,80.581116,27.964737,214.21814
4/15/1961,291.584564,278.24823,42.352409,75.935402,26.088497,274.037903
5/15/1961,299.320709,285.879028,16.537651,68.246399,22.108988,309.73233
6/15/1961,300.501984,286.010162,7.316476,59.76263,19.356209,338.730927
7/15/1961,306.513489,290.726929,6.761957,45.801853,14.798607,322.274933
8/15/1961,306.625458,291.782349,20.005219,51.327095,17.198492,288.818085
9/15/1961,305.327637,288.42688,1.946421,38.689365,13.190711,262.271454
10/15/1961,298.46283,283.149017,5.087752,44.821648,14.479204,197.767914
11/15/1961,288.950317,277.321136,8.081431,51.897572,21.908392,135.45462
12/15/1961,287.42865,276.299896,11.530878,62.165314,28.287251,116.647797
1/15/1962,285.298462,273.460876,16.59898,53.058502,22.698166,139.696136
2/15/1962,288.199738,275.792908,40.263561,70.826996,27.486856,164.973663
3/15/1962,292.140259,278.298767,15.25647,64.188316,21.877821,227.579559
4/15/1962,295.610748,281.182953,36.541515,61.213169,20.324507,288.212952
5/15/1962,300.264709,284.452728,1.118154,45.971046,13.774534,330.897522
6/15/1962,306.322296,290.804169,11.894764,33.893345,10.595051,342.60257
7/15/1962,307.610107,294.213959,29.360895,53.599171,18.920158,313.153778
8/15/1962,305.922089,292.681305,42.747089,60.580845,21.483683,278.935516
9/15/1962,305.413147,290.475769,13.673931,47.124561,15.051381,253.199951
10/15/1962,298.269958,284.964417,11.862407,59.97879,21.499214,191.516251
11/15/1962,291.651733,278.490295,7.55621,59.058739,21.204901,142.971146
12/15/1962,288.742828,276.841675,49.826309,63.101673,26.407585,110.941383
1/15/1963,287.555695,274.966492,7.013438,60.906353,23.302223,135.863953
2/15/1963,286.714264,275.592255,19.524549,78.872505,27.863773,156.545792
3/15/1963,293.959534,279.109711,4.715821,50.51786,16.642593,241.65683
4/15/1963,301.776367,284.411652,0,34.212406,8.758085,311.421722
5/15/1963,302.655945,286.99176,3.997999,44.197731,11.82198,321.592682
6/15/1963,308.227661,293.453094,11.541521,37.390251,11.956193,336.407562
7/15/1963,308.860474,295.70462,17.920406,51.24931,21.068502,310.464905
8/15/1963,307.385529,294.050903,129.810532,65.111053,24.86207,286.084351
9/15/1963,301.800354,286.791718,17.781408,58.987522,19.554056,257.152893
10/15/1963,298.58371,284.463837,11.339591,61.457897,20.239904,195.860214
11/15/1963,288.848663,276.964172,12.397584,59.913769,27.049194,142.355682
12/15/1963,284.135895,272.154968,5.134626,55.801785,18.322987,119.377937
1/15/1964,287.419983,273.796783,10.314982,43.909847,16.900438,137.000854
2/15/1964,290.271088,277.559113,15.349021,69.240242,28.187223,169.458282
3/15/1964,287.564606,276.292786,51.131023,81.148155,32.802883,206.870224
4/15/1964,298.769257,282.231354,0,47.04179,12.66429,299.64856
5/15/1964,301.864716,286.187805,0.763985,39.12571,11.506479,341.068817
6/15/1964,305.601624,290.131165,6.673993,42.046974,12.755898,342.418396
7/15/1964,307.868774,293.585205,39.969269,44.977505,16.933701,314.392517
