time,tmax,tmin,precip,rhmax,rhmin,rsds
1/15/1960,290.248383,278.018982,46.196743,83.089394,34.417576,112.655846
2/15/1960,291.874451,277.325012,28.818514,65.455589,24.68079,178.545135
3/15/1960,293.082275,278.048492,25.477293,58.032295,17.606421,234.416443
4/15/1960,301.545929,284.8526,0.574506,46.15868,12.675037,295.023773
5/15/1960,302.216888,286.145355,0,51.026138,14.935142,319.651062
6/15/1960,308.791199,291.24707,10.065159,42.164574,11.048184,324.533295
7/15/1960,310.298859,293.58902,4.339415,41.40118,12.868813,323.090759
8/15/1960,312.058502,295.971313,7.910558,41.136753,14.922013,282.625214
9/15/1960,308.201233,292.003571,9.463998,49.781517,15.946712,245.610458
10/15/1960,301.256805,285.081482,2.461222,52.475563,15.946344,191.761139
11/15/1960,292.415619,278.680115,8.643623,66.416389,20.438677,140.127228
12/15/1960,287.594971,274.929138,2.841954,68.794937,25.767128,116.418594
1/15/1961,287.690247,274.948303,18.666605,72.301796,29.334202,126.640656
2/15/1961,290.918518,276.682098,5.727724,60.873199,20.023684,173.775909
3/15/1961,291.432159,278.653625,14.565827,73.999092,23.887287,214.366501
4/15/1961,295.773895,281.324554,72.732216,66.014008,21.455057,274.456848
5/15/1961,303.790466,289.062347,21.194778,60.601173,17.822758,307.903931
6/15/1961,304.635162,288.798615,0.788265,54.440083,16.579634,336.027649
7/15/1961,310.939301,293.186249,8.539521,39.931465,11.835396,320.271637
8/15/1961,311.081573,294.462006,13.788508,40.693005,12.86784,286.881012
9/15/1961,309.464905,290.797302,0.563569,34.296387,10.893505,261.251099
10/15/1961,302.345367,285.095428,1.316089,41.230873,12.489573,195.647598
11/15/1961,292.54837,278.762085,7.795488,51.721695,19.914547,135.274612
12/15/1961,290.542175,276.931671,6.313488,65.641914,25.857922,116.538872
1/15/1962,288.740875,274.276062,13.430971,58.137234,21.106619,139.374237
2/15/1962,292.16806,277.888824,35.285599,68.152603,23.630939,165.426636
3/15/1962,296.263489,281.115265,11.734175,58.769447,18.558468,228.546249
4/15/1962,299.847046,284.259155,47.436062,54.537045,16.656361,287.862671
5/15/1962,304.58786,287.553009,0.717676,39.715233,11.41948,328.828156
6/15/1962,310.701385,293.466248,8.417254,31.419441,9.174457,340.537048
7/15/1962,312.076416,297.126984,38.30867,45.773472,14.894488,309.771759
8/15/1962,310.446411,295.62262,20.280422,49.905388,16.346855,277.323792
9/15/1962,309.597717,292.959259,6.545337,42.656651,12.300849,252.074646
10/15/1962,302.188385,287.076141,5.627027,57.466068,18.735647,189.430496
11/15/1962,295.159454,280.071106,10.427017,58.637199,19.011486,142.77623
12/15/1962,291.962311,277.713287,27.97447,65.916763,24.409533,110.813126
1/15/1963,291.012085,276.026337,5.398577,63.620098,21.817804,135.426239
2/15/1963,290.728363,277.696899,18.420385,76.857063,24.650848,156.929489
3/15/1963,298.033936,281.751923,2.716736,47.150475,14.529335,243.322571
4/15/1963,306.113861,287.240448,0,30.179804,7.45577,311.208984
5/15/1963,307.048462,290.075043,3.185608,39.391479,9.702741,319.88382
6/15/1963,312.655884,296.159973,9.189606,33.566963,9.903716,334.136536
7/15/1963,313.383545,298.630157,15.76973,43.074303,16.549097,307.759613
8/15/1963,311.85849,297.119995,84.507866,54.914581,19.84638,284.847534
9/15/1963,306.011078,289.585236,13.445846,50.141113,15.187789,256.041138
10/15/1963,302.545319,286.534271,5.771706,56.811165,16.838211,194.084625
11/15/1963,292.43808,278.296082,8.74305,60.031624,24.18313,142.419388
12/15/1963,287.422211,272.913483,1.623834,59.280685,17.053293,118.996811
1/15/1964,290.768005,274.780975,8.245902,47.571438,15.941302,136.690079
2/15/1964,294.245544,279.798798,11.134878,66.443581,24.25618,169.550491
3/15/1964,291.787689,279.593109,40.92556,74.772888,27.609865,207.634552
4/15/1964,303.053223,284.87854,0,42.020424,10.600037,299.417328
5/15/1964,306.31897,289.117188,0,34.448864,9.55337,338.770142
6/15/1964,309.978363,292.906525,0,38.656567,10.929399,339.801727
7/15/1964,312.310669,296.327789,38.481804,39.225834,13.741489,311.772491
8/15/1964,311.246704,294.747772,5.980149,41.626266,14.086751,288.916199
9/15/1964,308.173248,290.926483,2.809056,40.372231,12.686828,250.810837
10/15/1964,303.16153,286.311523,4.14546,57.542713,15.663667,187.939621
11/15/1964,294.991486,280.786011,22.721567,72.359337,24.626772,133.233978
12/15/1964,287.557434,275.499878,46.37978,81.442558,33.173691,103.308372
1/15/1965,284.381622,272.294891,14.045404,61.427776,22.074368,132.56868
2/15/1965,290.34671,276.775208,15.50939,67.947807,24.117817,173.365173
3/15/1965,298.397827,281.571259,0.536598,49.318615,13.317607,235.230179
4/15/1965,300.028839,282.432312,2.28564,37.576714,13.324054,305.851227
5/15/1965,307.139099,288.07312,0.437676,26.67915,7.307037,336.051422
6/15/1965,311.938873,293.733215,0,20.388361,6.282064,344.183807
7/15/1965,312.807831,296.908783,6.670474,30.933599,11.822942,320.38205
8/15/1965,311.790344,295.055908,1.795392,36.138454,12.490344,293.302429
9/15/1965,306.311432,291.372498,4.791358,55.952557,18.710886,229.878357
10/15/1965,298.722229,285.827362,27.158318,69.400787,25.070364,180.81105
11/15/1965,290.391602,277.967651,30.301125,68.896568,26.640881,137.429626
12/15/1965,286.765717,274.889252,4.766492,69.132835,26.956139,117.008789
1/15/1966,286.462433,273.727173,13.82141,59.221256,24.056055,134.648239
2/15/1966,288.09848,276.687012,49.222092,79.307755,28.807369,155.026489
3/15/1966,292.31662,278.906036,8.469016,66.097549,24.44416,223.199631
4/15/1966,294.189453,280.093567,54.464252,67.496254,21.975069,279.151398
5/15/1966,302.486084,286.109558,23.830198,52.27211,14.84003,327.771667
6/15/1966,304.916107,288.465729,0,55.90757,15.014828,340.218475
7/15/1966,310.005615,293.749817,7.269308,49.07523,12.656114,334.175781
8/15/1966,310.575165,294.412964,4.649047,53.615616,15.238255,294.095673
9/15/1966,307.017151,290.122772,0,44.540276,12.928994,253.05571
10/15/1966,299.720978,283.921478,13.963599,58.958118,18.189568,189.295425
